# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
69210.8000 M2124 835094 6 6333.8000 n92 n96 194 N n92->n39->n8->n47->n30->n8->n96
70040.1000 M2106 670531 5 7707.1000 n6 n84 171 N n6->n37->n52->n63->n90->n84
70231.5000 M2350 551739 1 699.5000 n96 n24 288 N n96->n24
70426.4000 M2378 761744 2 90.4000 n69 n80 298 N n69->n30->n80
70791.5000 M2272 510844 5 3578.5000 n84 n98 240 N n84->n35->n6->n81->n40->n98
70872.3000 M2308 818579 1 2575.3000 n50 n47 257 N n50->n47
70902.1000 M2360 654897 2 1081.1000 n68 n53 281 N n68->n32->n53
71008.4000 M2358 722892 1 1240.4000 n93 n46 279 N n93->n46
71187.8000 M2055 883002 6 10384.8000 n97 n68 126 N n97->n71->n55->n98->n55->n77->n68
71702.7000 M2070 550527 10 10443.7000 n28 n56 125 N n28->n20->n63->n0->n46->n94->n71->n47->n50->n59->n56
71737.0000 M2116 794451 8 9112.0000 n59 n66 148 N n59->n40->n99->n83->n89->n91->n65->n74->n66
71881.7000 M2250 799135 6 5309.7000 n68 n24 211 N n68->n84->n35->n28->n84->n64->n24
72060.7000 M2190 575571 4 7256.7000 n16 n40 179 N n16->n0->n58->n42->n40
72084.0000 M2105 591888 8 9783.0000 n45 n75 136 N n45->n22->n54->n59->n46->n60->n46->n67->n75
72315.2000 M2344 860639 4 2958.2000 n94 n96 250 N n94->n22->n0->n70->n96
72367.4000 M2266 715031 2 5336.4000 n32 n40 211 N n32->n96->n40
72488.2000 M2407 775756 5 1285.2000 n44 n36 278 N n44->n34->n74->n66->n56->n36
72675.3000 M2327 903253 3 3801.3000 n89 n96 236 N n89->n91->n47->n96
72744.4000 M2110 557661 6 10303.4000 n77 n28 128 N n77->n32->n96->n85->n62->n14->n28
73035.1000 M2415 851285 1 1603.1000 n59 n30 273 N n59->n30
73065.1000 M2447 747385 2 700.1000 n59 n53 288 N n59->n30->n53
73237.5000 M2423 782708 1 1574.5000 n46 n53 273 N n46->n53
73536.7000 M2256 886887 6 6792.7000 n28 n71 186 N n28->n81->n40->n6->n52->n32->n71
73585.3000 M1882 796361 11 17877.3000 n10 n58 2 N n10->n99->n44->n72->n28->n81->n40->n4->n6->n52->n32->n58
73615.0000 M2439 928819 1 1482.0000 n0 n81 275 N n0->n81
73616.2000 M2275 514318 5 6308.2000 n94 n55 194 N n94->n45->n76->n63->n22->n55
74013.0000 M2303 899109 6 5862.0000 n32 n24 202 N n32->n53->n32->n42->n40->n20->n24
74051.5000 M2465 633046 1 1151.5000 n16 n78 280 N n16->n78
74146.5000 M2334 577588 9 5071.5000 n94 n79 215 N n94->n22->n69->n30->n80->n83->n38->n24->n94->n79
74455.9000 M2438 868457 4 2356.9000 n84 n90 260 N n84->n66->n41->n69->n90
74495.6000 M2411 681898 3 3175.6000 n67 n70 247 N n67->n26->n66->n70
74628.8000 M2484 637710 1 1180.8000 n54 n44 280 N n54->n44
75024.5000 M2252 688952 6 8399.5000 n94 n48 160 N n94->n45->n80->n20->n92->n94->n48
75287.0000 M2424 622363 6 3592.0000 n84 n91 240 N n84->n66->n41->n35->n69->n46->n91
75507.9000 M2318 753868 6 6909.9000 n83 n46 184 N n83->n89->n91->n47->n58->n18->n46
75741.6000 M2483 682199 4 2320.6000 n79 n10 261 N n79->n55->n84->n95->n10
75764.0000 M2374 740829 6 5532.0000 n83 n86 207 N n83->n80->n83->n38->n24->n40->n86
75847.4000 M2503 622791 3 1860.4000 n51 n83 268 N n51->n18->n47->n83
75926.9000 M2222 652536 8 10167.9000 n73 n28 130 N n73->n43->n24->n26->n63->n22->n93->n57->n28
76154.0000 M2441 652527 3 3969.0000 n39 n47 233 N n39->n6->n56->n47
76156.8000 M2428 852246 8 4343.8000 n50 n10 227 N n50->n79->n56->n36->n65->n66->n43->n26->n10
76185.6000 M2518 715971 1 1769.6000 n86 n71 270 N n86->n71
76391.1000 M2531 785741 1 1606.1000 n61 n47 273 N n61->n47
76534.1000 M2548 690410 3 1254.1000 n66 n83 279 N n66->n45->n87->n83
76702.7000 M2468 639590 3 3720.7000 n66 n54 237 N n66->n43->n35->n54
77133.4000 M2302 587075 14 9011.4000 n52 n87 149 N n52->n63->n90->n56->n64->n84->n66->n41->n69->n90->n46->n91->n79->n94->n87
77430.5000 M2539 582252 5 2422.5000 n74 n78 259 N n74->n38->n49->n65->n34->n78
77477.1000 M2580 582612 2 1251.1000 n42 n80 279 N n42->n71->n80
77518.0000 M2596 686820 2 817.0000 n8 n98 286 N n8->n32->n98
78211.9000 M2427 697783 4 6426.9000 n57 n6 192 N n57->n54->n53->n49->n6
78678.5000 M2505 559612 2 4635.5000 n70 n72 222 N n70->n49->n72
78986.5000 M2429 686785 7 7139.5000 n95 n22 181 N n95->n10->n95->n92->n86->n49->n6->n22
79083.0000 M2560 601467 2 3447.0000 n62 n32 242 N n62->n77->n32
79447.5000 M2589 671321 2 2951.5000 n55 n71 250 N n55->n88->n71
79554.2000 M2552 688662 2 4160.2000 n44 n67 230 N n44->n97->n67
79588.7000 M2597 624076 3 2862.7000 n37 n93 252 N n37->n73->n87->n93
79591.0000 M2649 812323 1 1365.0000 n95 n12 277 N n95->n12
79594.9000 M2369 958111 3 9502.9000 n95 n12 141 N n95->n10->n95->n12
79608.5000 M2496 580149 6 5819.5000 n61 n24 203 N n61->n28->n57->n48->n0->n82->n24
79674.5000 M2422 592109 4 8043.5000 n6 n45 165 N n6->n2->n30->n22->n45
79756.6000 M2689 989362 1 346.6000 n83 n71 294 N n83->n71
80060.7000 M2279 644214 6 12631.7000 n43 n91 89 N n43->n24->n85->n88->n44->n64->n91
80091.5000 M2595 645977 3 3421.5000 n70 n4 242 N n70->n49->n72->n4
80294.4000 M2534 623181 4 5427.4000 n74 n71 209 N n74->n94->n76->n74->n71
80617.7000 M2519 720766 1 6169.7000 n80 n22 197 N n80->n22
80765.4000 M2530 806881 3 6012.4000 n18 n22 199 N n18->n46->n8->n22
81076.4000 M2512 867095 4 6835.4000 n72 n12 186 N n72->n24->n73->n32->n12
81096.6000 M2538 689290 2 6118.6000 n56 n54 198 N n56->n28->n54
81809.2000 M2472 500025 6 8706.2000 n16 n83 154 N n16->n78->n99->n34->n50->n97->n83
81985.9000 M2727 832486 2 1445.9000 n76 n60 275 N n76->n59->n60
82006.9000 M2713 806665 1 1897.9000 n67 n89 268 N n67->n89
82294.8000 M2761 980152 1 738.8000 n38 n52 287 N n38->n52
82398.5000 M2541 681920 4 7336.5000 n12 n49 177 N n12->n2->n96->n85->n49
82601.9000 M2511 601841 3 8388.9000 n52 n91 160 N n52->n65->n61->n91
82654.8000 M2777 655866 2 634.8000 n82 n91 289 N n82->n55->n91
82858.2000 M2787 955896 2 557.2000 n37 n16 290 N n37->n64->n16
83261.1000 M2815 683144 2 118.1000 n68 n36 298 N n68->n96->n36
83425.1000 M2793 836020 1 940.1000 n42 n91 284 N n42->n91
83603.8000 M2829 891292 1 44.8000 n64 n81 299 N n64->n81
83606.8000 M2710 740007 4 3589.8000 n50 n64 240 N n50->n97->n59->n81->n64
86029.1000 M2904 594849 3 257.1000 n79 n4 295 N n79->n88->n39->n4
86130.4000 M2771 651466 3 4291.4000 n85 n46 228 N n85->n75->n61->n46
86240.5000 M2814 859922 2 3124.5000 n91 n33 247 N n91->n42->n33
86293.7000 M2772 752628 7 4428.7000 n67 n98 226 N n67->n22->n70->n92->n18->n22->n34->n98
86461.0000 M2414 757389 13 15054.0000 n33 n62 49 N n33->n56->n66->n30->n45->n35->n53->n61->n54->n14->n57->n59->n16->n62
86482.8000 M2726 900568 8 5974.8000 n52 n63 200 N n52->n14->n57->n59->n87->n33->n16->n59->n63
86614.9000 M2730 510531 2 5984.9000 n47 n59 200 N n47->n43->n59
87106.4000 M2824 712048 3 3695.4000 n85 n51 238 N n85->n88->n39->n51
87217.5000 M2663 567680 8 8585.5000 n2 n86 156 N n2->n88->n2->n65->n48->n83->n93->n50->n86
87446.6000 M2946 947395 1 457.6000 n71 n37 292 N n71->n37
87464.2000 M2945 623558 1 505.2000 n58 n85 291 N n58->n85
87921.8000 M2642 610660 4 9883.8000 n67 n88 135 N n67->n48->n47->n65->n88
88157.5000 M2801 681630 6 5428.5000 n47 n57 209 N n47->n43->n73->n67->n43->n64->n57
88224.6000 M2533 869401 6 13387.6000 n10 n80 76 N n10->n95->n36->n24->n88->n40->n80
88367.8000 M2964 723268 2 828.8000 n67 n44 286 N n67->n33->n44
88540.0000 M2862 581418 4 4012.0000 n71 n70 233 N n71->n53->n46->n89->n70
88747.7000 M2821 921816 6 5426.7000 n16 n38 209 N n16->n95->n80->n43->n73->n49->n38
88826.4000 M2502 523241 13 14873.4000 n55 n86 52 N n55->n84->n95->n10->n95->n36->n24->n30->n73->n36->n90->n22->n14->n86
88830.0000 M2682 885536 7 9631.0000 n8 n14 139 N n8->n70->n38->n83->n93->n50->n86->n14
90059.1000 M2573 779322 12 14041.1000 n65 n48 65 N n65->n34->n50->n97->n83->n57->n82->n90->n22->n75->n84->n79->n48
90106.1000 M2780 958382 5 8001.1000 n14 n12 166 N n14->n57->n59->n33->n71->n12
90182.3000 M2981 788900 1 2132.3000 n66 n76 264 N n66->n76
90201.8000 M2683 607050 8 10971.8000 n81 n0 117 N n81->n84->n36->n33->n73->n81->n38->n44->n0
90672.3000 M2700 652483 9 10945.3000 n54 n71 117 N n54->n65->n77->n92->n18->n22->n34->n98->n34->n71
90678.6000 M2840 794593 6 6783.6000 n0 n73 186 N n0->n51->n55->n48->n54->n75->n73
91096.8000 M3050 626125 1 1012.8000 n52 n69 283 N n52->n69
91159.8000 M2894 767406 4 5678.8000 n94 n52 205 N n94->n51->n55->n87->n52
91251.1000 M3060 595742 3 881.1000 n79 n85 285 N n79->n64->n54->n85
91251.8000 M3019 928549 1 2084.8000 n53 n39 265 N n53->n39
91308.2000 M3079 571055 2 395.2000 n70 n92 293 N n70->n99->n92
91450.5000 M2990 997832 1 3144.5000 n87 n48 247 N n87->n48
91575.9000 M2937 995116 6 4830.9000 n79 n67 219 N n79->n43->n35->n98->n32->n43->n67
92049.5000 M2696 667418 7 12437.5000 n66 n81 92 N n66->n75->n61->n68->n12->n30->n90->n81
92254.0000 M3092 677502 1 967.0000 n53 n92 283 N n53->n92
92399.5000 M3042 922229 2 2547.5000 n53 n28 257 N n53->n39->n28
92503.8000 M2828 557534 8 8976.8000 n48 n54 150 N n48->n71->n53->n46->n89->n80->n56->n90->n54
92536.4000 M3111 945404 1 691.4000 n0 n74 288 N n0->n74
92539.2000 M3110 859413 1 719.2000 n85 n93 288 N n85->n93
92540.1000 M3049 913247 3 2487.1000 n75 n0 258 N n75->n35->n74->n0
92988.0000 M2987 618277 6 4774.0000 n48 n6 220 N n48->n54->n75->n97->n35->n0->n6
93180.8000 M3128 501478 1 824.8000 n42 n0 286 N n42->n0
93224.6000 M3017 764211 2 4109.6000 n0 n57 231 N n0->n62->n57
93298.3000 M2871 759980 8 8511.3000 n10 n53 158 N n10->n4->n92->n4->n46->n90->n2->n30->n53
93304.5000 M2897 971747 9 7735.5000 n88 n70 171 N n88->n39->n4->n89->n26->n92->n46->n77->n94->n70
93335.9000 M2968 589096 3 5675.9000 n44 n98 205 N n44->n43->n67->n98
93599.0000 M2797 710326 4 10993.0000 n8 n70 116 N n8->n33->n49->n88->n70
93825.5000 M2919 545803 6 7601.5000 n58 n82 173 N n58->n80->n59->n28->n94->n71->n82
94333.2000 M3131 523682 3 1893.2000 n73 n30 268 N n73->n72->n38->n30
94672.3000 M2621 646076 16 17248.3000 n67 n41 12 N n67->n48->n18->n69->n70->n38->n76->n70->n92->n18->n22->n34->n98->n34->n38->n45->n41
94859.9000 M2783 943123 5 12664.9000 n28 n24 88 N n28->n8->n6->n32->n26->n24
95073.7000 M3020 756638 5 5878.7000 n18 n48 202 N n18->n57->n56->n72->n99->n48
95285.4000 M3024 787891 4 5967.4000 n41 n96 200 N n41->n89->n51->n54->n96
95349.1000 M3067 928553 4 4787.1000 n41 n50 220 N n41->n80->n14->n91->n50
95788.3000 M3198 675132 2 1370.3000 n44 n0 277 N n44->n36->n0
95791.2000 M3190 704353 1 1594.2000 n0 n36 273 N n0->n36
96079.8000 M3181 655092 2 2148.8000 n73 n22 264 N n73->n66->n22
96464.7000 M2947 925224 9 9445.7000 n75 n28 142 N n75->n24->n54->n75->n83->n85->n87->n97->n90->n28
96468.7000 M3245 656312 1 701.7000 n39 n34 288 N n39->n34
96868.9000 M3230 561850 4 1516.9000 n65 n82 274 N n65->n74->n87->n33->n82
97378.5000 M3097 722608 6 5938.5000 n73 n80 201 N n73->n74->n34->n65->n78->n8->n80
97402.8000 M3126 610206 4 5107.8000 n32 n65 214 N n32->n2->n4->n0->n65
97440.7000 M3095 574048 4 6061.7000 n90 n77 198 N n90->n89->n14->n70->n77
97628.9000 M3008 829273 8 8792.9000 n79 n78 153 N n79->n48->n54->n41->n80->n70->n77->n70->n78
97671.3000 M3156 514524 6 4482.3000 n56 n44 225 N n56->n72->n99->n48->n35->n49->n44
97830.9000 M3291 825073 2 695.9000 n71 n82 288 N n71->n54->n82
98309.2000 M3168 832714 4 4767.2000 n48 n12 220 N n48->n68->n49->n32->n12
98464.5000 M3091 915944 5 7207.5000 n30 n86 179 N n30->n2->n94->n55->n83->n86
98500.5000 M3056 762216 4 8243.5000 n32 n88 162 N n32->n43->n67->n37->n88
98564.7000 M3016 653513 5 9481.7000 n56 n78 141 N n56->n45->n32->n2->n4->n78
99207.4000 M2892 664813 13 13786.4000 n44 n64 70 N n44->n87->n92->n34->n71->n94->n55->n0->n78->n45->n65->n24->n4->n64
99486.2000 M3222 505789 6 4362.2000 n97 n89 227 N n97->n51->n85->n34->n97->n56->n89
99785.4000 M3236 982216 6 4260.4000 n96 n16 228 N n96->n8->n81->n66->n45->n52->n16
99788.6000 M2806 787876 7 16912.6000 n28 n16 18 N n28->n0->n62->n37->n98->n48->n52->n16
99808.5000 M3213 769413 2 4952.5000 n96 n71 217 N n96->n38->n71
99890.5000 M3300 770598 1 2500.5000 n98 n60 258 N n98->n60
99894.5000 M3094 997725 3 8549.5000 n10 n60 157 N n10->n67->n98->n60
100788.5000 M3275 855186 2 4119.5000 n88 n66 231 N n88->n33->n66
100843.0000 M3319 970948 3 2918.0000 n76 n34 251 N n76->n69->n61->n34
100858.9000 M3238 915714 2 5281.9000 n79 n61 211 N n79->n97->n61
100951.4000 M3410 912318 2 374.4000 n89 n18 293 N n89->n42->n18
101321.8000 M3408 695719 1 804.8000 n34 n41 286 N n34->n41
101557.8000 M3396 615131 4 1392.8000 n42 n86 276 N n42->n91->n44->n97->n86
101837.7000 M3345 885280 4 3174.7000 n34 n59 247 N n34->n92->n88->n58->n59
101911.7000 M3388 847749 3 1978.7000 n85 n93 267 N n85->n2->n40->n93
102206.9000 M3446 934263 1 578.9000 n28 n80 290 N n28->n80
102237.7000 M3375 508747 1 2681.7000 n53 n22 255 N n53->n22
102429.4000 M3381 513623 1 2700.4000 n95 n47 254 N n95->n47
102543.1000 M3449 552175 1 830.1000 n76 n81 286 N n76->n81
102610.2000 M3361 751042 4 3485.2000 n49 n90 241 N n49->n55->n8->n92->n90
102679.9000 M2909 753772 12 16759.9000 n14 n88 20 N n14->n36->n60->n51->n80->n28->n61->n52->n18->n71->n54->n20->n88
102706.6000 M3384 637424 2 2891.6000 n66 n81 251 N n66->n57->n81
102730.5000 M3355 820655 4 3775.5000 n51 n47 237 N n51->n41->n30->n36->n47
102806.5000 M3286 540175 7 5811.5000 n81 n97 203 N n81->n59->n96->n76->n69->n44->n89->n97
103084.8000 M3459 625625 2 1087.8000 n4 n38 281 N n4->n60->n38
103324.1000 M3358 738591 3 4285.1000 n97 n65 228 N n97->n86->n91->n65
103372.5000 M3004 855720 11 14662.5000 n6 n39 55 N n6->n56->n68->n70->n24->n69->n36->n88->n33->n4->n48->n39
103379.9000 M3305 608654 5 5841.9000 n57 n8 202 N n57->n93->n54->n32->n54->n8
103503.4000 M3468 856461 1 1246.4000 n44 n87 279 N n44->n87
103736.2000 M3281 895953 5 6884.2000 n71 n79 185 N n71->n54->n40->n39->n60->n79
103743.8000 M3329 605162 6 5539.8000 n66 n51 207 N n66->n65->n49->n55->n8->n90->n51
103850.3000 M3385 606037 2 4007.3000 n82 n60 233 N n82->n12->n60
104354.9000 M3466 678150 1 2158.9000 n48 n69 264 N n48->n69
104839.3000 M3454 878600 3 2978.3000 n36 n73 250 N n36->n47->n82->n73
105383.9000 M3311 618985 9 7679.9000 n4 n98 172 N n4->n64->n78->n57->n55->n8->n26->n94->n82->n98
105422.6000 M3472 862469 3 3047.6000 n30 n39 249 N n30->n36->n47->n39
105547.2000 M3546 694699 3 999.2000 n61 n45 283 N n61->n79->n35->n45
105648.3000 M3369 608309 5 6278.3000 n8 n64 195 N n8->n26->n94->n82->n60->n64
105727.5000 M3524 565635 3 1810.5000 n60 n61 269 N n60->n99->n40->n61
106164.1000 M3490 612896 3 3254.1000 n65 n61 245 N n65->n45->n86->n61
106434.9000 M3433 984190 1 5180.9000 n3 n27 213 N n3->n27
106543.6000 M3596 739105 1 520.6000 n60 n84 291 N n60->n84
106546.3000 M3593 651478 1 608.3000 n84 n60 289 N n84->n60
106619.8000 M3390 877279 3 6620.8000 n45 n79 189 N n45->n35->n16->n79
106895.6000 M3545 782945 3 2374.6000 n88 n24 260 N n88->n10->n53->n24
106899.5000 M3554 952998 2 2106.5000 n18 n24 264 N n18->n53->n24
107258.3000 M3432 575661 2 6030.3000 n95 n38 199 N n95->n67->n38
107671.3000 M3491 776707 4 4731.3000 n36 n93 221 N n36->n6->n90->n35->n93
107740.3000 M3229 673598 10 12413.3000 n42 n53 93 N n42->n91->n44->n88->n10->n42->n97->n6->n64->n90->n53
108073.3000 M3645 838770 1 616.3000 n46 n0 289 N n46->n0
108564.8000 M3571 744788 2 3277.8000 n77 n73 245 N n77->n69->n73
108619.6000 M3547 961268 3 4037.6000 n12 n76 232 N n12->n85->n65->n76
108648.8000 M3518 672691 8 4910.8000 n79 n88 218 N n79->n4->n48->n54->n60->n82->n44->n94->n88
108784.9000 M3679 720974 1 302.9000 n57 n24 294 N n57->n24
108852.2000 M3452 983572 6 7055.2000 n70 n18 182 N n70->n36->n52->n94->n35->n54->n18
109016.0000 M3612 523470 5 2518.0000 n68 n93 258 N n68->n6->n61->n78->n33->n93
109757.7000 M3479 979454 2 7170.7000 n84 n77 180 N n84->n26->n77
110206.1000 M3559 767476 2 5271.1000 n60 n20 212 N n60->n71->n20
110239.9000 M3175 823842 10 16485.9000 n56 n81 25 N n56->n39->n56->n85->n37->n83->n37->n96->n53->n66->n81
110254.1000 M3676 836020 5 1871.1000 n63 n96 268 N n63->n18->n77->n78->n55->n96
110449.8000 M3460 725566 4 8422.8000 n56 n78 159 N n56->n26->n22->n80->n78
110845.2000 M3755 547438 1 55.2000 n94 n88 299 N n94->n88
110893.7000 M3688 941411 3 2142.7000 n96 n71 264 N n96->n87->n38->n71
111295.2000 M3691 917155 6 2445.2000 n8 n70 259 N n8->n22->n80->n78->n8->n4->n70
111466.9000 M3726 749539 2 1539.9000 n38 n95 274 N n38->n63->n95
111516.0000 M3683 648804 3 2909.0000 n78 n54 251 N n78->n61->n42->n54
111548.1000 M3771 621072 2 266.1000 n38 n34 295 N n38->n68->n34
111865.2000 M3650 645191 1 4263.2000 n64 n39 228 N n64->n39
112188.5000 M3429 628522 7 11042.5000 n82 n68 115 N n82->n12->n40->n61->n49->n52->n62->n68
112240.0000 M3652 567731 4 4571.0000 n38 n40 223 N n38->n24->n95->n76->n40
112599.5000 M3777 948851 1 1149.5000 n51 n58 280 N n51->n58
112625.3000 M3703 712049 2 3410.3000 n67 n14 243 N n67->n44->n14
112821.1000 M3667 778166 2 4720.1000 n28 n34 221 N n28->n91->n34
113191.2000 M3719 699889 1 3474.2000 n43 n69 242 N n43->n69
113861.3000 M3692 828266 3 4986.3000 n41 n16 216 N n41->n10->n94->n16
113905.8000 M3773 976280 4 2565.8000 n14 n35 257 N n14->n4->n61->n59->n35
