# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
15984.9000 M69 580609 19 13923.9000 n88 n68 67 N n88->n42->n45->n49->n20->n72->n86->n66->n37->n39->n42->n94->n90->n8->n89->n10->n44->n36->n24->n68
16032.4000 M430 820632 3 3281.4000 n72 n94 245 N n72->n74->n86->n94
16093.0000 M470 809919 3 2195.0000 n97 n93 263 N n97->n89->n35->n93
17254.2000 M549 993175 1 1039.2000 n71 n0 282 N n71->n0
17276.9000 M497 740796 4 2573.9000 n79 n86 257 N n79->n87->n63->n98->n86
17340.7000 M482 642758 10 3099.7000 n10 n67 248 N n10->n52->n20->n85->n22->n79->n87->n63->n98->n50->n67
17455.2000 M465 561040 6 3698.2000 n96 n6 238 N n96->n68->n98->n97->n89->n32->n6
17527.6000 M524 740249 4 2046.6000 n52 n40 265 N n52->n85->n24->n10->n40
17530.4000 M38 698725 14 16409.4000 n39 n40 26 N n39->n70->n58->n10->n90->n24->n47->n90->n41->n28->n85->n52->n24->n10->n40
17561.1000 M544 791299 1 1506.1000 n77 n8 274 N n77->n8
17899.5000 M447 575021 9 4655.5000 n59 n65 222 N n59->n75->n54->n48->n24->n81->n84->n0->n43->n65
17926.5000 M551 588080 1 1648.5000 n22 n87 272 N n22->n87
18170.2000 M330 870117 9 8386.2000 n28 n64 160 N n28->n48->n95->n67->n48->n81->n33->n85->n30->n64
18614.3000 M434 630111 6 5751.3000 n87 n66 204 N n87->n46->n69->n37->n51->n77->n66
18940.6000 M573 625117 1 2013.6000 n80 n84 266 N n80->n84
19197.2000 M351 526550 14 8776.2000 n57 n63 153 N n57->n64->n62->n58->n33->n28->n16->n75->n55->n85->n59->n88->n81->n44->n63
19352.2000 M532 626763 2 3648.2000 n78 n88 239 N n78->n45->n88
19536.7000 M601 664914 1 1778.7000 n62 n45 270 N n62->n45
19544.8000 M605 737803 1 1651.8000 n66 n42 272 N n66->n42
19886.8000 M341 547278 5 9765.8000 n78 n24 137 N n78->n88->n53->n67->n0->n24
19922.9000 M654 668129 1 569.9000 n22 n33 290 N n22->n33
20086.2000 M125 524397 12 16348.2000 n81 n56 27 N n81->n24->n49->n4->n76->n41->n74->n28->n30->n16->n55->n37->n56
20532.3000 M552 697484 3 4224.3000 n80 n4 229 N n80->n65->n37->n4
20550.7000 M518 856857 7 5244.7000 n81 n87 212 N n81->n24->n2->n18->n4->n69->n85->n87
20761.5000 M554 556894 5 4397.5000 n41 n73 226 N n41->n9->n91->n35->n12->n73
20901.5000 M646 928664 1 1778.5000 n4 n20 270 N n4->n20
20939.4000 M604 548171 3 3080.4000 n78 n79 248 N n78->n45->n53->n79
20955.0000 M521 569827 5 5558.0000 n16 n52 207 N n16->n55->n37->n56->n98->n52
21696.5000 M626 817053 3 3182.5000 n93 n45 246 N n93->n42->n67->n45
21699.6000 M370 750128 8 10714.6000 n79 n67 121 N n79->n96->n35->n62->n95->n52->n62->n45->n67
22054.3000 M681 822790 2 1887.3000 n76 n14 268 N n76->n42->n14
