# time  ID  size  fromHost  toHost  TTL  isResponse
4175.0000 M140 841472 n69 n21 300 N 
4205.0000 M141 527742 n67 n17 300 N 
4234.0000 M142 878324 n83 n60 300 N 
4267.0000 M143 941589 n60 n50 300 N 
4294.0000 M144 674617 n17 n46 300 N 
4327.0000 M145 549490 n75 n93 300 N 
4361.0000 M146 758878 n44 n81 300 N 
4391.0000 M147 664885 n70 n28 300 N 
4417.0000 M148 689890 n20 n13 300 N 
4443.0000 M149 642191 n27 n69 300 N 
4468.0000 M150 781785 n6 n79 300 N 
4501.0000 M151 610562 n17 n15 300 N 
4534.0000 M152 903589 n29 n28 300 N 
4560.0000 M153 974276 n47 n42 300 N 
4593.0000 M154 757661 n55 n84 300 N 
4622.0000 M155 828379 n84 n48 300 N 
4651.0000 M156 773577 n39 n91 300 N 
4680.0000 M157 514049 n25 n94 300 N 
4712.0000 M158 640674 n45 n90 300 N 
4739.0000 M159 998913 n32 n31 300 N 
4771.0000 M160 795734 n79 n45 300 N 
4798.0000 M161 972439 n23 n88 300 N 
4824.0000 M162 697955 n51 n39 300 N 
4852.0000 M163 755220 n95 n46 300 N 
4878.0000 M164 659543 n7 n35 300 N 
4906.0000 M165 709592 n90 n83 300 N 
4940.0000 M166 766358 n2 n9 300 N 
4968.0000 M167 798197 n53 n83 300 N 
4998.0000 M168 635411 n80 n85 300 N 
5029.0000 M169 610098 n7 n45 300 N 
5061.0000 M170 844916 n38 n57 300 N 
5091.0000 M171 689925 n42 n89 300 N 
5122.0000 M172 926578 n24 n87 300 N 
5152.0000 M173 664855 n45 n61 300 N 
5183.0000 M174 952886 n15 n6 300 N 
5216.0000 M175 750628 n19 n94 300 N 
5246.0000 M176 579901 n76 n72 300 N 
5276.0000 M177 669688 n90 n55 300 N 
5309.0000 M178 890709 n67 n31 300 N 
5338.0000 M179 767122 n62 n24 300 N 
5372.0000 M180 766653 n17 n0 300 N 
5399.0000 M181 569604 n92 n60 300 N 
5424.0000 M182 706440 n54 n26 300 N 
5452.0000 M183 951280 n66 n47 300 N 
5477.0000 M184 753114 n81 n24 300 N 
5507.0000 M185 502540 n3 n73 300 N 
5537.0000 M186 648681 n28 n98 300 N 
5564.0000 M187 827135 n54 n98 300 N 
5595.0000 M188 875548 n37 n41 300 N 
5625.0000 M189 574913 n51 n83 300 N 
5657.0000 M190 535919 n14 n0 300 N 
5691.0000 M191 547102 n49 n72 300 N 
5721.0000 M192 803181 n59 n30 300 N 
5749.0000 M193 821267 n51 n6 300 N 
5780.0000 M194 875828 n76 n18 300 N 
5806.0000 M195 737647 n50 n71 300 N 
5840.0000 M196 776404 n50 n52 300 N 
5870.0000 M197 736627 n45 n13 300 N 
5901.0000 M198 611919 n26 n41 300 N 
